,id,screen_name,astroturf,fake_follower,financial,other,overall,self_declared,spammer,english,universal
0,926078552578994176,amarmehera123,0.2,4.7,3.9,3.2,4.7,2.9,1.4,0.8926181194656552,1.0
0,1451215017525714946,Prakash14891990,0.4,4.3,3.4,5.0,5.0,2.7,2.2,0.9373635156266058,0.8963872382550993
0,620883064,Td3ia,0.2,3.8,3.6,4.8,4.8,3.0,2.0,0.9158377984126878,0.8493546651359208
0,238894088,Choskins23,0.0,2.1,0.1,0.2,1.8,0.1,1.0,0.7920317685697057,0.8052475029769541
0,180245909,josue_ftbl,1.0,1.2,1.6,4.1,4.1,0.2,0.2,0.8240917140475522,0.7219510972984345
0,1525318240641372160,SakuU_jyar31,0.1,4.6,2.4,5.0,5.0,3.7,1.6,1.0,0.904303821618659
0,1524746696009273347,Tatiane31619781,0.6,4.1,3.2,4.6,4.6,3.2,2.3,0.8748575042966269,0.8372129323854712
0,1525318073946882049,MariyaShudra,0.2,5.0,3.0,4.6,5.0,2.8,2.8,0.9373635156266058,0.9121502174127201
0,1495624950799032321,gustavuromeu,0.3,3.4,0.5,2.3,3.4,0.8,1.6,0.797075908158591,0.7966241294741505
0,1462948264315998208,HugoPicks_,0.0,4.1,1.6,3.6,4.1,0.2,2.8,0.816204310368583,0.8193478253485871
0,1525316308765757448,naveedb97513031,0.2,4.9,2.3,4.8,4.9,3.0,2.2,0.9307543294922915,1.0
0,1525318005387071488,RizzonSteve,0.4,4.9,4.7,4.7,4.9,2.2,1.8,0.9307543294922915,1.0
0,3571192459,adrian_campos_3,0.2,0.8,1.3,1.6,1.2,0.2,0.2,0.7287106185584935,0.6207049850511144
0,3022652648,254ea25f57dc4e7,0.3,2.3,0.9,2.7,3.0,0.0,3.0,0.7967247202742335,0.8053787930995948
0,1505040558028468225,Gabriel10322458,0.2,4.8,3.1,4.6,4.8,2.8,4.6,0.923535423667034,1.0
0,1525316304193867778,Ghost_black_150,0.1,2.8,3.8,5.0,5.0,2.8,0.6,0.9373635156266058,1.0
0,1258863543472054274,Ro75198276,0.6,3.0,3.2,3.6,3.6,3.2,2.3,0.7998362042473794,0.8068955728616037
0,1509384985744404480,SumitPankaj7,0.2,4.8,3.4,5.0,5.0,2.9,1.6,0.9373635156266058,0.9270685798190942
0,1525317984675192833,SayanMo28175583,0.1,5.0,2.3,3.8,5.0,2.8,1.9,1.0,1.0
0,53524550,ageschile,0.1,4.4,0.6,4.0,4.4,2.8,3.8,0.8457543526336647,0.8252572897541253
0,1525317601274089473,l52561478,0.2,5.0,2.9,4.8,5.0,2.8,1.8,1.0,1.0
0,894755131211735041,Harry_Brz,0.4,3.8,3.6,4.5,4.5,3.4,2.2,0.8670116134145492,0.8115094045580712
0,1480517561192091651,TomNu8,0.4,1.8,1.2,2.2,2.2,0.0,1.2,0.7961080923981387,0.8030212452554465
0,1525202156999311360,S1mple_cui,0.1,5.0,2.8,5.0,5.0,2.8,1.2,1.0,1.0
0,1497365543875411968,HeddyEvert,0.1,5.0,2.8,4.8,5.0,2.8,4.8,1.0,1.0
0,1515265364799926276,trinhthangbin13,0.1,4.4,1.4,4.0,4.4,3.2,3.4,0.8524047631581662,0.859576255252869
0,1142946485463605249,timeup82332560,0.4,4.9,1.7,4.0,4.9,2.6,2.3,0.9307543294922915,0.9338419498718862
0,730966854445858816,_the_abhishek_m,0.1,1.0,0.2,1.7,1.2,0.0,0.6,0.7384783166429812,0.23332432370635456
0,1180932942857678849,ADAM94610555,0.4,4.7,2.6,4.2,4.7,2.8,3.1,0.8995513244218455,1.0
0,2167217780,KrisKwhite89,0.5,2.2,0.4,2.4,1.0,1.1,0.3,0.6915799517497913,0.7784494983408411
0,1524945934081212443,ClubmanJones,0.2,4.8,3.3,5.0,5.0,2.8,1.8,0.9373635156266058,0.9270685798190942
0,1520231884843749376,piggfan69,0.4,2.4,0.2,2.4,2.4,2.1,1.6,0.7971250161607958,0.8053429027352532
0,1328981593881333760,Vlorantszzz,0.2,3.8,2.5,4.4,4.4,0.4,1.2,0.8457543526336647,0.8372129323854712
0,1132309392705982464,badgirlalphabet,0.1,4.0,0.4,3.8,4.0,0.2,2.1,0.8100783815308749,0.8102129289660348
0,1282947111932301312,xenissad,0.1,1.2,0.4,1.2,1.8,0.0,0.6,0.7907586934369296,0.6415870166679795
0,147752861,Dorygal,0.4,0.2,0.0,0.5,0.3,0.0,0.2,0.36264564124632276,0.23332432370635456
0,1055079909561790465,KarthiV78441605,0.4,3.2,1.6,3.8,3.8,2.8,1.4,0.8036706514015852,0.8052478284119403
0,3422286130,cmq2015,0.6,1.1,0.4,2.8,2.1,0.0,0.2,0.795728227940139,0.5488888157824968
0,2917736871,angmapa,0.0,1.4,0.0,1.5,1.4,0.2,0.6,0.7717813288270262,0.5488888157824968
0,1285847055861260288,Aesmino1,0.4,4.7,3.4,3.6,4.7,2.7,2.7,0.8995513244218455,0.8963872382550993
0,1525315177394102272,SherAfr56783102,0.1,5.0,3.3,4.8,5.0,2.8,1.4,0.9413700201963071,1.0
0,893027258096652288,innoh_chester,0.4,1.2,0.2,2.4,1.4,0.1,0.6,0.7717813288270262,0.40673978557586005
0,1525026125830934528,mamta_kapse,0.1,5.0,3.6,4.9,5.0,2.8,3.4,1.0,1.0
0,1525317943998918656,LanceChhetry,0.6,4.1,1.7,3.3,4.1,3.4,2.8,0.816204310368583,0.8662905376040458
0,858755487667335168,Bhabua2468,0.1,1.2,0.6,2.2,1.4,0.6,0.6,0.7717813288270262,0.760577756485164
0,1499409803109875713,NewarNormal,0.3,4.8,1.8,4.6,4.8,3.0,4.0,0.9077975241648624,0.9121502174127201
0,1502274817285787654,rulas_sandoval,0.6,5.0,2.9,4.1,5.0,2.7,2.3,1.0,0.9338419498718862
0,1525317801975717889,23_iceman23,0.4,4.3,2.6,4.4,4.4,3.4,2.9,0.8595061719862279,0.8885263643630983
0,1485609233911586826,Samismynamee,0.4,4.4,3.2,4.3,4.4,2.7,2.5,0.8524047631581662,0.8169336709169681
0,189748407,diegojimenezz,0.1,2.2,0.6,2.7,2.7,0.0,1.1,0.7971422227407965,0.4658392474232361
0,4831556344,Dsharris14,0.8,1.9,0.0,3.8,3.8,2.7,0.4,0.8036706514015852,0.8421031637823202
0,3300591067,chandumaxx,0.1,3.4,0.7,2.7,3.4,0.1,1.6,0.7968624754031172,0.8050029368890766
0,1135704192042119168,josue87612198,0.4,4.4,2.3,3.8,4.4,0.4,2.6,0.8595061719862279,0.8327856038833207
0,1159381133366386690,Boris47191139,0.4,4.8,2.3,4.1,4.8,2.9,3.9,0.923535423667034,0.9338419498718862
0,1971674574,Sakthivjr,0.8,0.8,0.4,2.2,0.8,0.0,0.2,0.621687023966582,0.5488888157824968
0,1525317099760934912,fedup_govern,0.8,4.0,2.0,3.4,4.0,1.7,2.7,0.812935016236137,0.8115094045580712
0,1525120199502045184,GUI_GUI_NS,0.1,5.0,2.3,5.0,5.0,3.1,1.6,1.0,1.0
0,219553832,peh1737,0.4,0.0,0.1,0.6,0.2,0.0,0.1,0.30618807248975083,0.0
0,1266942986237214720,Matt25213488,0.4,3.9,4.6,4.7,4.7,2.8,2.1,0.8995513244218455,0.8662905376040458
0,1131619307811508224,xxAWETNOODLExx,0.4,0.4,0.4,2.0,0.4,0.6,0.3,0.4197222421546159,0.7219510972984345
0,1525317432130297856,alicethacutest,0.2,5.0,3.3,4.6,5.0,2.8,4.6,0.9373635156266058,1.0
0,251928908,jenamoya,0.0,3.7,0.2,3.4,3.7,2.2,1.8,0.8008799175144752,0.8169336709169681
0,1455568616032702464,ZahraAmin600987,0.2,3.1,0.9,3.6,3.6,1.4,1.6,0.7989890411370751,0.8052475029769541
0,136988491,snp0319,0.3,1.0,0.5,4.0,4.0,0.2,0.1,0.812935016236137,0.2603678379426137
0,1444995127517204480,tK975pkRn1Lbi1Y,0.3,4.3,4.2,4.8,4.8,2.7,1.4,0.9158377984126878,0.8733944954488508
0,1525317451755704320,William07470491,0.4,4.6,4.3,4.6,4.6,2.9,2.1,0.8857066148116788,1.0
